site_url,feed_url,old_feed_url,resolved,registered,created_on,updated_on,title,link,description,generator,entries,earliest_post,last_published
,http://blog.davidville.com/feed/,http://blog.davidville.com/feed/,192.0.78.12,true,2001-04-28 17:33:21 UTC,2020-04-29 19:22:20 UTC,Davidville,,,,,,
http://blog.benchcoach.com,http://blog.benchcoach.com/?feed=rss2,http://blog.benchcoach.com/?feed=rss2,,,,,Benchcoach,,,,,,
http://fortuito.us/,http://feeds.feedburner.com/fortuitousblog,http://feeds.feedburner.com/fortuitousblog,172.217.10.14,true,2003-12-01 22:10:05 -0800,2019-10-31 02:35:58 -0700,fortuitous,http://fortuito.us/,,http://www.sixapart.com/movabletype/,7,2007-04-23 20:28:47 UTC,2011-03-23 07:31:29 UTC
http://nukemanbill.blogspot.com/,http://nukemanbill.blogspot.com/feeds/posts/default,http://nukemanbill.blogspot.com/feeds/posts/default,142.250.64.97,true,2000-07-31 00:00:00 -0700,2019-06-29 02:36:23 -0700,Building a Software Company,http://nukemanbill.blogspot.com/,Rantings of an Entrepreneur,Blogger,7,2008-05-17 02:38:00 UTC,2011-09-06 00:18:00 UTC
https://headrush.typepad.com/creating_passionate_users/,http://headrush.typepad.com/creating_passionate_users/index.rdf,http://headrush.typepad.com/creating_passionate_users/index.rdf,104.18.136.190,true,2003-03-31 22:27:18 UTC,2020-03-02 04:47:20 UTC,Creating Passionate Users,https://headrush.typepad.com/creating_passionate_users/,,TypePad,10,2007-03-16 19:43:27 UTC,2007-04-06 19:00:42 UTC
,http://www.bugblogger.com/atom.xml,http://www.bugblogger.com/atom.xml,199.21.248.48,true,2006-09-06 19:24:26 UTC,,Bug Blogger,,,,,,
,http://materialicio.us/feed/,http://materialicio.us/feed/,216.92.3.112,true,,,materialicious,,,,,,
,http://www.greenerminds.com/feed/,http://www.greenerminds.com/feed/,50.87.196.131,true,2006-09-28 17:29:44 UTC,2019-09-13 17:29:59 UTC,Greener Minds- Sustainable Living in Western New York,,,,,,
http://beginsinwonder.com,http://beginsinwonder.com/feed/,http://beginsinwonder.com/feed/,192.30.252.154,true,2006-11-01 22:25:26 UTC,2019-10-02 10:41:45 UTC,...begins in wonder,,,,,,
,http://feeds.feedburner.com/spattendesign,http://feeds.feedburner.com/spattendesign,172.217.12.206,true,2003-12-01 22:10:05 -0800,2019-10-31 02:35:58 -0700,spatten design - blog,,,,,,
,http://www.avibryant.com/index.rdf,http://www.avibryant.com/index.rdf,104.198.14.52,true,2007-07-04 16:25:00 UTC,2020-06-05 07:29:05 UTC,HREF Considered Harmful,,,,,,
http://anarchaia.org,http://anarchaia.org/index.rss,http://anarchaia.org/index.rss,217.10.14.234,true,2005-10-17 18:37:24 UTC,2019-08-18 17:48:24 UTC,Anarchaia,http://anarchaia.org,"Experimental, impressionistic sub-paragraph tumblin' (think obstsalat)",Nukumi2 0.5,15,2008-09-12 09:26:11 UTC,2008-10-03 09:37:28 UTC
http://erleuchtet.org/,http://erleuchtet.org/atom.xml,http://erleuchtet.org/atom.xml,81.26.162.93,true,2005-09-16 10:53:29 UTC,2020-01-02 20:42:38 UTC,\o/,http://erleuchtet.org/,,Movable Type 4.35-en,6,2008-03-30 23:01:44 UTC,2011-06-15 21:54:28 UTC
https://www.ianbicking.org/,http://blog.ianbicking.org/feeds/new_pages.xml,http://blog.ianbicking.org/feeds/new_pages.xml,208.113.215.136,true,2003-07-11 08:21:14 UTC,2019-01-23 03:18:30 UTC,Ian Bicking: A Blog,https://www.ianbicking.org/,,,20,2015-04-23 05:00:00 UTC,2019-07-30 05:00:00 UTC
http://2008.goruco.com/,http://2008.goruco.com/rss/,http://2008.goruco.com/rss/,192.30.252.153,true,2006-12-17 03:10:11 UTC,2019-11-25 13:54:15 UTC,GoRuCo,http://2008.goruco.com/,"News about GoRuCo, a one-day, single-track event in New York City dedicated to everything Ruby.",,10,2008-02-12 01:01:09 UTC,2008-04-28 22:07:41 UTC
,http://blogs.pragprog.com/cgi-bin/pragdave.cgi/index.rss,http://blogs.pragprog.com/cgi-bin/pragdave.cgi/index.rss,208.94.146.70,true,1999-01-19 05:00:00 UTC,2019-12-21 08:31:37 UTC,PragDave,,,,,,
http://ontherails.blogspot.com/,http://ontherails.blogspot.com/atom.xml,http://ontherails.blogspot.com/atom.xml,172.217.12.129,true,2000-07-31 00:00:00 -0700,2019-06-29 02:36:23 -0700,On The Rails,http://ontherails.blogspot.com/,"A budding Rubyist works and plays with Ruby On Rails, the MVC web development framework of the new millenium. He writes about it too.",Blogger,9,2004-11-01 17:47:00 UTC,2004-11-19 18:55:00 UTC
http://onthethought.blogspot.com/,http://onthethought.blogspot.com/atom.xml,http://onthethought.blogspot.com/atom.xml,172.217.12.161,true,,,On the Thought,http://onthethought.blogspot.com/,Bruce Eckel's Idea Blog: over-the-transom thoughts about programming technology. See the main site at www.MindView.net for more information (and longer articles).,Blogger,25,2005-01-26 15:49:00 UTC,2005-05-31 23:21:00 UTC
,http://www.codepoetry.net/feeds/codepoetry.xml,http://www.codepoetry.net/feeds/codepoetry.xml,209.50.57.182,true,,,"codepoetry - technology, unabridged.",,,,,,
https://metajack.wordpress.com,http://metajack.wordpress.com/feed/,http://metajack.wordpress.com/feed/,192.0.78.12,true,2000-03-03 04:13:23 -0800,2020-02-01 02:18:28 -0800,metajack,https://metajack.wordpress.com,a blog about startups and code,http://wordpress.com/,10,2008-07-04 04:24:46 UTC,2008-09-03 03:01:03 UTC
,http://lispmeister.com/blog/index.rss,http://lispmeister.com/blog/index.rss,198.210.48.7,true,2019-10-10 18:09:35 UTC,2019-10-15 18:24:35 UTC,Lispmeister.com,,,,,,
http://lemonodor.com/,http://lemonodor.com/rss10-full.xml,http://lemonodor.com/rss10-full.xml,159.89.148.25,true,2001-12-16 22:14:26 UTC,2019-12-01 15:02:16 UTC,Lemonodor,http://lemonodor.com/,A mostly Lisp weblog by John Wiseman,,15,2008-04-01 21:19:53 UTC,2008-09-23 16:31:53 UTC
http://blog.fallingsnow.net,http://blog.fallingsnow.net/feed/atom/,http://blog.fallingsnow.net/feed/atom/,192.0.78.12,true,2002-05-28 12:45:00 UTC,2020-04-29 07:24:07 UTC,Phoenix isn't just a town in Arizona,,,,,,
,http://redhanded.hobix.com/index.xml,http://redhanded.hobix.com/index.xml,,,,,RedHanded,,,,,,
,http://feeds.feedburner.com/errtheblog,http://feeds.feedburner.com/errtheblog,172.217.10.78,true,2003-12-01 22:10:05 -0800,2019-10-31 02:35:58 -0700,Err the Blog - Home,,,,,,
,http://freehackersunion.org/feed.atom,http://freehackersunion.org/feed.atom,,,,,"<div xmlns=""http://www.w3.org/1999/xhtml"">The Freehackers Union</div>",,,,,,
https://alexiskold.net,http://alexiskold.wordpress.com/feed/,http://alexiskold.wordpress.com/feed/,192.0.78.13,true,2000-03-03 04:13:23 -0800,2020-02-01 02:18:28 -0800,Alex Iskold Technology Blog,,,,,,
,http://www.quietlyscheming.com/blog/feed/,http://www.quietlyscheming.com/blog/feed/,51.91.31.37,true,2006-02-13 02:22:53 UTC,,Quietly Scheming,,Just another WordPress site,https://wordpress.org/?v=5.3.4,0,,
https://nitrogen-erlang.tumblr.com/,http://nitrogen-erlang.tumblr.com/rss,http://nitrogen-erlang.tumblr.com/rss,74.114.154.22,true,2006-06-08 15:11:40 -0700,2019-12-19 10:21:17 -0800,Nitrogen Web Framework,https://nitrogen-erlang.tumblr.com/,An event-driven web framework for Erlang.,Tumblr (3.0; @nitrogen-erlang),6,2008-10-16 04:14:00 UTC,2008-12-29 17:15:13 UTC
,http://smallthought.com/avi/?feed=rss2,http://smallthought.com/avi/?feed=rss2,54.208.77.124,true,2004-09-08 16:17:11 UTC,,HREF Considered Harmful,,,,,,
https://N-O-D-E.net,https://n-o-d-e.net/rss/rss.xml,https://n-o-d-e.net/rss/rss.xml,91.207.50.60,true,2014-11-05 10:12:00 UTC,2019-10-31 11:13:07 UTC,N O D E,https://N-O-D-E.net,,,123,,
,http://hivelogic.com/index.xml,http://hivelogic.com/index.xml,162.255.119.254,true,2001-02-24 23:53:16 UTC,2020-01-25 06:32:55 UTC,Hivelogic - The Narrative,,,,,,
https://bigeyedeer.wordpress.com,http://bigeyedeer.wordpress.com/feed/,http://bigeyedeer.wordpress.com/feed/,192.0.78.12,true,2000-03-03 04:13:23 -0800,2020-02-01 02:18:28 -0800,the rut.,https://bigeyedeer.wordpress.com,"No, I don't draw my cartoons with my feet... why does everyone keep asking that??",http://wordpress.com/,10,2012-10-22 21:49:31 UTC,2013-04-18 11:35:55 UTC
http://jacquesmattheij.com/,http://jacquesmattheij.com/rss.xml,http://jacquesmattheij.com/rss.xml,5.79.86.24,true,2007-03-21 16:06:33 UTC,2020-03-22 07:36:28 UTC,Jacques Mattheij,http://jacquesmattheij.com/,Recent content on Jacques Mattheij,Hugo -- gohugo.io,342,2008-08-24 00:00:00 UTC,2020-06-18 00:00:00 UTC
,http://mooseyard.com/Jens/feed/atom/,http://mooseyard.com/Jens/feed/atom/,69.163.161.182,true,1995-06-26 21:00:00 UTC,2020-05-25 07:24:10 UTC,Thought Palace,,,,,,
https://lemonodor.tumblr.com/,http://lemonodor.tumblr.com/rss,http://lemonodor.tumblr.com/rss,74.114.154.18,true,2006-06-08 15:11:40 -0700,2019-12-19 10:21:17 -0800,Lemonodor Auxiliary,,,,,,
http://bitbq.com/blog,http://bitbq.com/blog/feed/,http://bitbq.com/blog/feed/,104.131.119.252,true,2009-08-06 22:22:05 UTC,2019-08-01 13:35:00 UTC,BitBQ Blog,,,,,,
https://wnycradiolab.tumblr.com/,http://wnycradiolab.tumblr.com/rss,http://wnycradiolab.tumblr.com/rss,74.114.154.22,true,2006-06-08 15:11:40 -0700,2019-12-19 10:21:17 -0800,Radiolab,https://wnycradiolab.tumblr.com/,A show about curiosity.,Tumblr (3.0; @wnycradiolab),20,2015-05-21 17:42:19 UTC,2016-08-16 18:45:53 UTC
https://prometheusfusionperfection.com,http://prometheusfusionperfection.com/feed/,http://prometheusfusionperfection.com/feed/,192.0.78.25,true,2009-04-10 20:59:42 UTC,,Prometheus Fusion Perfection,https://prometheusfusionperfection.com,"Developing Clean, Cheap, Open Source Energy with the Bussard Reactor.",http://wordpress.com/,10,2012-07-18 00:21:43 UTC,2013-07-07 18:26:46 UTC
https://www.oreilly.com/radar,http://feeds.feedburner.com/FourShortLinks,http://feeds.feedburner.com/FourShortLinks,23.192.21.184,true,1997-05-27 04:00:00 UTC,,Four Short Links – Radar,https://www.oreilly.com/radar,"Now, next, and beyond: Tracking need-to-know trends at the intersection of business and technology",https://wordpress.org/?v=5.3.4,60,2020-04-21 11:37:09 UTC,2020-06-25 11:28:11 UTC
http://kottke.org/,http://feeds.kottke.org/main,http://feeds.kottke.org/main,162.247.141.135,true,1998-12-26 05:00:00 UTC,2019-09-13 19:18:44 UTC,kottke.org,,,,,,
https://what-if.xkcd.com/145/,http://what-if.xkcd.com/feed.atom,http://what-if.xkcd.com/feed.atom,151.101.208.67,true,2003-01-26 02:25:10 UTC,,What If?,,"Answering your hypothetical questions with physics, every Tuesday.",,5,2016-01-30 00:00:00 UTC,2018-05-21 00:00:00 UTC
