author,total,dawn,early_morning,mid_morning,afternoon,evening,late_night,weekday,weekend
scott Chacon,81,0.0,0.09876543209876543,0.49382716049382713,0.4074074074074074,0.0,0.0,0.7530864197530864,0.24691358024691357
robertodecurnex,78,0.0,0.0,0.15384615384615385,0.717948717948718,0.02564102564102564,0.10256410256410256,0.9230769230769231,0.07692307692307693
Roberto Decurnex,77,0.0,0.0,0.2727272727272727,0.6363636363636364,0.025974025974025976,0.06493506493506493,1.0,0.0
Scott Chacon,20,0.0,0.0,0.4,0.55,0.05,0.0,0.75,0.25
Joshua Nichols,20,0.0,0.0,0.1,0.3,0.1,0.5,0.3,0.7
Per Lundberg,9,0.0,0.0,0.5555555555555556,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.8888888888888888,0.1111111111111111
Daniel Mendler,8,0.0,0.0,0.0,0.125,0.0,0.875,0.625,0.375
James Couball,7,0.0,0.0,0.8571428571428571,0.14285714285714285,0.0,0.0,0.42857142857142855,0.5714285714285714
Kelly Stannard,5,0.2,0.0,0.2,0.6,0.0,0.0,1.0,0.0
Vern Burton,5,0.2,0.0,0.6,0.0,0.2,0.0,1.0,0.0
James Rosen,4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
elliottcable,4,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Josh Nichols,4,0.0,0.0,0.0,0.75,0.25,0.0,0.75,0.25
Jorge Bernal,3,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,1.0,0.0
Yuichi Tateno,3,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Michael Mallete,3,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,1.0,0.0
Eric Goodwin,2,0.0,0.0,0.5,0.5,0.0,0.0,1.0,0.0
Jonathan Rudenberg,2,0.0,0.0,0.5,0.0,0.0,0.5,0.5,0.5
Gianni Chiappetta,2,0.0,0.0,0.5,0.5,0.0,0.0,1.0,0.0
Joe Moore,2,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Cameron Walsh,2,0.0,0.0,0.5,0.5,0.0,0.0,1.0,0.0
Yuya.Nishida,2,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
Joshua Liebowitz,2,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Yuta Harima,2,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
Joshua Peek,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
Michael Siebert,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Michael Hale,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Ken Pratt,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
devyn,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
schacon,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Zachery Hostens,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
Bryan Larsen,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
Nathan Fixler,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
schneems,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Steve Schwartz,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
Gabriel Cardoso,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Chad Rosen,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
TIT,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
TJ Biddle,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
OHTAKE Tomohiro,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
David Underwood,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Andy Schrage,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
