date,commits,authors,authors_json
2007-11,78,1,"{""scott Chacon"":78}"
2007-12,0,0,{}
2008-01,3,1,"{""scott Chacon"":3}"
2008-02,0,0,{}
2008-03,12,3,"{""Eric Goodwin"":2,""Scott Chacon"":9,""Joshua Peek"":1}"
2008-04,0,0,{}
2008-05,10,3,"{""Jorge Bernal"":3,""Michael Siebert"":1,""Scott Chacon"":6}"
2008-06,0,0,{}
2008-07,4,2,"{""Michael Hale"":1,""Yuichi Tateno"":3}"
2008-08,1,1,"{""Ken Pratt"":1}"
2008-09,0,0,{}
2008-10,1,1,"{""devyn"":1}"
2008-11,1,1,"{""Scott Chacon"":1}"
2008-12,6,2,"{""Jonathan Rudenberg"":2,""James Rosen"":4}"
2009-01,0,0,{}
2009-02,16,3,"{""Daniel Mendler"":8,""elliottcable"":4,""Scott Chacon"":4}"
2009-03,2,1,"{""Gianni Chiappetta"":2}"
2009-04,1,1,"{""Josh Nichols"":1}"
2009-05,2,1,"{""Josh Nichols"":2}"
2009-06,0,0,{}
2009-07,0,0,{}
2009-08,13,2,"{""Joshua Nichols"":12,""schacon"":1}"
2009-09,4,1,"{""Joshua Nichols"":4}"
2009-10,6,3,"{""Zachery Hostens"":1,""Joshua Nichols"":4,""Bryan Larsen"":1}"
2009-11,0,0,{}
2009-12,0,0,{}
2010-01,0,0,{}
2010-02,0,0,{}
2010-03,0,0,{}
2010-04,0,0,{}
2010-05,0,0,{}
2010-06,0,0,{}
2010-07,0,0,{}
2010-08,0,0,{}
2010-09,0,0,{}
2010-10,0,0,{}
2010-11,0,0,{}
2010-12,0,0,{}
2011-01,0,0,{}
2011-02,0,0,{}
2011-03,0,0,{}
2011-04,0,0,{}
2011-05,0,0,{}
2011-06,0,0,{}
2011-07,0,0,{}
2011-08,1,1,"{""Nathan Fixler"":1}"
2011-09,1,1,"{""Josh Nichols"":1}"
2011-10,1,1,"{""schneems"":1}"
2011-11,0,0,{}
2011-12,1,1,"{""Steve Schwartz"":1}"
2012-01,0,0,{}
2012-02,0,0,{}
2012-03,1,1,"{""Gabriel Cardoso"":1}"
2012-04,1,1,"{""Chad Rosen"":1}"
2012-05,0,0,{}
2012-06,0,0,{}
2012-07,0,0,{}
2012-08,0,0,{}
2012-09,0,0,{}
2012-10,0,0,{}
2012-11,0,0,{}
2012-12,0,0,{}
2013-01,1,1,"{""TIT"":1}"
2013-02,0,0,{}
2013-03,0,0,{}
2013-04,45,3,"{""Roberto Decurnex"":4,""robertodecurnex"":39,""Joe Moore"":2}"
2013-05,3,1,"{""Michael Mallete"":3}"
2013-06,1,1,"{""TJ Biddle"":1}"
2013-07,0,0,{}
